"tumorMean"	"controlMean"	"tumorsd"	"controlsd"	"pvals3"
"hsa-miR-10a-5p"	27513.12557856	60993.5061972	16068.9693079315	22172.3418804968	0.000000000000197800617514281
"hsa-miR-141-3p"	7.27171416	195.58051002	23.0162133867716	134.444516710893	0.000000000000243598601425381
"hsa-miR-106b-5p"	144.84855068	74.85775912	49.5449840215534	23.8155346819488	0.000000000000246045213021584
"hsa-miR-629-5p"	75.12824678	20.87184938	39.2283996002418	10.9641680355755	0.000000000000344088741419909
"hsa-miR-362-5p"	10.17517764	78.19534012	7.0734771618743	49.1337763512688	0.000000000000371954397260976
"hsa-miR-186-5p"	332.8416333	176.2061464	113.97320150451	37.228381021702	0.00000000000043642533424969
"hsa-miR-199b-3p"	794.18343104	1665.11993474	537.059048011126	514.805779463403	0.000000000000651757376602345
"hsa-miR-342-5p"	12.14787842	4.0308324	6.13132131541003	2.09478756236074	0.00000000000164314542334817
"hsa-miR-200c-3p"	71.49506186	1477.79036538	220.274847623237	1081.81109063977	0.00000000000282986256658159
"hsa-miR-342-3p"	171.58876292	62.23130338	85.7809353023345	34.9885989919471	0.00000000000717489369119454
"hsa-miR-126-5p"	758.0623796	360.53141372	307.523824608129	155.690164534637	0.00000000000747896138917615
"hsa-miR-500a-3p"	244.07161718	600.20162158	216.750178489381	240.8742586951	0.00000000000821813275963691
"hsa-miR-660-5p"	33.98822918	93.61057926	18.432226108257	47.5039523810033	0.0000000000113021341975509
"hsa-miR-184"	0.34776522	11.8820619	0.76297221249027	9.34521442648918	0.0000000000149322728818396
"hsa-miR-361-3p"	124.02271484	61.07302928	50.7970630428594	17.3894973396696	0.0000000000150826730204296
"hsa-miR-340-3p"	10.63504848	4.79051706	4.70729896395826	1.87980561669508	0.0000000000168749849426169
"hsa-miR-24-1-5p"	14.71732284	31.71255998	6.60057169122083	13.7817741646285	0.0000000000314997963012954
"hsa-miR-126-3p"	13608.14836356	6935.734762	5540.45945025748	2162.32237191518	0.0000000000440709739332595
"hsa-miR-874-3p"	16.30388266	43.01197562	16.3340397054617	19.5789723679681	0.0000000000525564193394625
"hsa-miR-140-3p"	1327.79522972	820.1878605	381.063302876327	300.985374831638	0.000000000061903932798949
"hsa-miR-532-5p"	758.76383636	1493.99661184	492.604472540591	509.440401641847	0.0000000000645221497088757
"hsa-miR-3613-5p"	15.78955728	4.89630052	9.22735030566713	2.83357927050194	0.0000000000650012200666783
